,4984495,104956
AAKV,75,3
AAKW,139,3
AAKX,107,2
AAKY,77,3
AAKZ,74,1
AAL,9809,284
AALM,91,3
AALN,677,23
AALO,440,13
AALP,46,2
AALQ,631,19
AALR,165,6
AALS,111,3
AALT,279,9
AALU,238,9
AALV,250,8
AALW,130,6
AALX,132,4
AALY,270,7
AALZ,282,8
AAM,3762,103
AAMN,195,7
AAMO,308,9
AAMP,89,2
AAMQ,211,5
AAMR,153,5
AAMS,106,2
AAMT,208,5
AAMU,56,1
AAMV,114,5
AAMW,102,3
AAMX,49,1
AAMY,90,2
AAMZ,98,2
AAN,16424,470
AANN,402,14
AANO,819,25
AANP,297,8
AANQ,788,32
AANR,837,31
AANS,238,6
AANT,567,16
AANU,490,18
AANV,345,11
AANW,288,8
AANX,262,7
AANY,213,7
AANZ,352,11
AAO,24413,642
AAOO,533,20
AAOP,424,12
AAOQ,435,17
AAOR,955,25
AAOS,19,1
AAOT,602,22
AAOU,434,14
AAOV,577,18
AAOW,243,7
AAOX,183,3
AAOY,253,8
AAOZ,108,3
AAP,6050,154
AAPQ,165,7
AAPR,282,9
AAPT,149,4
AAPU,222,7
AAPV,50,3
AAPW,69,1
AAPY,100,3
AAPZ,69,2
AAQ,24186,681
AAQR,890,32
AAQS,27,1
AAQT,229,9
AAQU,504,14
AAQV,410,15
AAQW,72,2
AAQX,320,9
AAQY,58,3
AAQZ,152,4
AAR,13943,388
AARR,354,12
AARS,51,1
AART,529,16
AARU,401,15
AARV,627,20
AARW,252,8
AARX,71,3
AARY,97,3
AARZ,50,4
AAS,4288,105
AASS,72,2
AAST,283,7
AASU,133,4
AASV,137,3
AASW,41,1
AASX,31,2
AASY,81,1
AAT,13767,391
AATT,255,8
AATU,399,12
AATV,466,14
AATW,294,9
AATX,268,7
AATY,227,6
AATZ,212,4
AAU,17721,496
AAUV,429,17
AAUW,46,2
AAUX,113,3
AAUY,91,4
AAUZ,125,4
AAV,10847,301
AAVW,114,4
AAVX,81,4
AAVY,127,5
AAVZ,135,5
AAW,4031,104
AAWX,65,1
AAWY,89,2
AAWZ,92,4
AAX,4080,99
AAXZ,133,5
AAY,4261,114
AAYZ,56,2
AAZ,4102,115
AB,48671,1106
ABC,4165,105
ABCD,65,3
ABCE,161,5
ABCF,47,1
ABCG,178,5
ABCH,27,1
ABCI,219,8
ABCJ,178,6
ABCK,86,2
ABCL,127,4
ABCM,78,3
ABCN,252,8
ABCO,340,10
ABCP,86,3
ABCQ,142,6
ABCR,226,7
ABCS,117,2
ABCT,261,8
ABCU,109,3
ABCV,228,5
ABCW,113,4
ABCX,11,1
ABCY,40,1
ABCZ,133,3
ABD,2956,77
ABDE,80,3
ABDF,65,3
ABDG,221,7
ABDH,27,1
ABDI,195,5
ABDJ,122,4
ABDK,64,1
ABDL,81,2
ABDN,100,4
ABDO,163,5
ABDP,28,1
ABDQ,189,9
ABDR,248,5
ABDS,92,2
ABDT,133,5
ABDU,23,1
ABDV,155,6
ABDW,137,3
ABDX,7,1
ABDY,39,1
ABDZ,50,3
ABE,9414,249
ABEE,312,10
ABEF,208,7
ABEG,334,10
ABEH,34,1
ABEI,560,16
ABEJ,419,11
ABEK,60,3
ABEL,232,4
ABEM,125,3
ABEN,478,13
ABEO,572,16
ABEP,219,7
ABEQ,246,10
ABER,477,11
ABET,323,8
ABEU,315,9
ABEV,413,14
ABEW,182,6
ABEX,83,3
ABEY,96,4
ABEZ,110,3
ABF,2172,52
ABFI,105,2
ABFJ,99,3
ABFK,26,1
ABFL,107,4
ABFM,84,2
ABFN,128,3
ABFO,152,4
ABFP,80,3
ABFQ,68,3
ABFR,163,6
ABFT,288,7
ABFU,15,1
ABFV,77,2
ABFZ,14,1
ABG,5299,152
ABGH,95,3
ABGI,343,10
ABGJ,98,4
ABGK,13,1
ABGL,145,4
ABGM,58,2
ABGN,171,9
ABGO,453,11
ABGP,132,4
ABGQ,419,13
ABGR,464,16
ABGS,70,2
ABGT,253,9
ABGU,135,5
ABGV,115,6
ABGW,69,2
ABGX,116,4
ABGY,34,1
ABGZ,33,1
ABH,1369,34
ABHJ,7,1
ABHK,24,1
ABHM,27,1
ABHN,32,1
ABHO,54,1
ABHR,77,2
ABHT,90,2
ABHU,59,2
ABHV,138,4
ABHY,70,2
ABI,9327,255
ABII,238,8
ABIJ,211,8
ABIK,56,2
ABIL,216,6
ABIM,168,4
ABIN,375,13
ABIO,486,14
ABIP,236,8
ABIQ,405,13
ABIR,473,14
ABIS,205,5
ABIT,251,9
ABIU,328,10
ABIV,347,13
ABIW,57,3
ABIX,169,4
ABIY,70,3
ABIZ,45,3
ABJ,3347,88
ABJK,51,1
ABJL,32,1
ABJM,74,3
ABJN,128,4
ABJO,332,9
ABJP,46,2
ABJQ,64,4
ABJR,95,5
ABJT,48,2
ABJU,26,1
ABJV,297,9
ABJW,70,2
ABJY,31,1
ABK,2013,51
ABKN,37,2
ABKO,124,4
ABKP,53,2
ABKR,80,2
ABKS,26,1
ABKT,155,4
ABKU,32,1
ABKV,40,2
ABKW,30,1
ABKX,46,1
ABKZ,50,1
ABL,3772,101
ABLM,122,3
ABLN,186,7
ABLO,253,6
ABLP,137,2
ABLQ,122,7
ABLR,171,6
ABLS,52,2
ABLT,147,6
ABLU,52,2
ABLV,143,6
ABLW,68,2
ABLX,19,1
ABLY,19,1
ABLZ,165,6
ABM,2906,74
ABMN,86,5
ABMO,50,1
ABMP,58,2
ABMQ,54,2
ABMR,126,4
ABMT,74,3
ABMV,174,6
ABMW,75,2
ABMX,11,1
ABN,7735,215
ABNN,37,1
ABNO,267,7
ABNP,162,5
ABNQ,502,19
ABNR,182,8
ABNS,94,3
ABNT,501,14
ABNU,184,6
ABNV,214,8
ABNW,153,5
ABNY,105,4
ABNZ,155,6
ABO,6838,169
ABOO,112,3
ABOP,53,2
ABOQ,117,4
ABOR,533,14
ABOS,39,2
ABOT,271,8
ABOU,125,5
ABOV,238,8
ABOW,175,5
ABOY,27,1
ABOZ,202,5
ABP,2253,64
ABPQ,55,2
ABPR,169,6
ABPS,8,1
ABPT,93,3
ABPU,192,5
ABPV,146,4
ABPW,144,5
ABPX,21,1
ABPY,38,1
ABPZ,102,2
ABQ,7205,209
ABQR,133,6
ABQS,128,3
ABQT,262,9
ABQU,162,7
ABQV,172,7
ABQW,331,10
ABQX,40,1
ABQY,19,1
ABQZ,260,8
ABR,5597,141
ABRR,170,5
ABRS,67,1
ABRT,373,11
ABRU,63,1
ABRV,142,4
ABRW,26,1
ABRX,137,4
ABRY,24,1
ABRZ,71,2
ABS,2511,57
ABST,161,4
ABSU,33,1
ABSZ,40,1
ABT,6228,175
ABTT,32,1
ABTU,219,6
ABTV,171,5
ABTW,73,3
ABTX,38,1
ABTY,112,2
ABTZ,65,2
ABU,4568,123
ABUV,167,8
ABUX,23,2
ABUY,40,2
ABUZ,50,2
ABV,5052,151
ABVW,100,5
ABVX,240,6
ABVY,122,4
ABVZ,34,1
ABW,2935,76
ABWY,107,3
ABWZ,30,1
ABX,1426,37
ABXY,18,1
ABXZ,83,2
ABY,1820,47
ABYZ,43,1
ABZ,1726,45
AC,64637,1588
ACD,4202,113
ACDE,175,5
ACDF,92,4
ACDG,306,8
ACDI,99,3
ACDJ,47,2
ACDK,21,3
ACDL,114,3
ACDM,24,2
ACDN,193,9
ACDO,75,3
ACDP,88,3
ACDQ,94,3
ACDR,193,5
ACDS,18,2
ACDT,56,2
ACDU,102,4
ACDV,236,7
ACDW,98,3
ACDX,123,4
ACDY,28,1
ACDZ,41,1
ACE,12023,309
ACEE,749,24
ACEF,268,7
ACEG,456,13
ACEH,184,5
ACEI,1128,33
ACEJ,315,9
ACEK,186,5
ACEL,656,18
ACEM,69,2
ACEN,489,17
ACEO,924,25
ACEP,54,3
ACEQ,454,16
ACER,553,17
ACET,669,17
ACEU,215,8
ACEV,328,10
ACEW,342,10
ACEX,107,4
ACEY,356,9
ACEZ,284,8
ACF,3767,103
ACFG,108,4
ACFH,56,1
ACFI,291,7
ACFJ,56,2
ACFK,33,2
ACFL,74,3
ACFM,25,1
ACFN,239,11
ACFO,144,4
ACFP,63,2
ACFQ,269,6
ACFR,169,5
ACFS,59,2
ACFT,229,5
ACFU,170,5
ACFV,80,3
ACFW,63,2
ACFX,38,1
ACFY,28,1
ACFZ,93,2
ACG,6270,190
ACGH,47,1
ACGI,460,16
ACGJ,74,3
ACGK,121,5
ACGL,99,4
ACGM,35,1
ACGN,160,7
ACGO,203,6
ACGP,170,7
ACGQ,166,6
ACGR,112,5
ACGT,279,10
ACGU,134,6
ACGV,112,5
ACGW,77,4
ACGX,105,2
ACGY,5,1
ACGZ,131,5
ACH,2382,54
ACHI,83,2
ACHJ,70,2
ACHK,43,2
ACHL,47,1
ACHM,146,4
ACHN,54,2
ACHO,94,2
ACHP,75,2
ACHQ,10,1
ACHR,79,3
ACHT,49,2
ACHU,60,1
ACHV,27,1
ACI,13644,379
ACII,446,15
ACIJ,331,9
ACIK,259,7
ACIL,414,12
ACIM,68,2
ACIN,489,12
ACIO,618,17
ACIP,187,6
ACIQ,704,26
ACIR,559,18
ACIS,45,1
ACIT,348,15
ACIU,583,18
ACIV,441,13
ACIW,157,5
ACIX,67,3
ACIY,209,5
ACIZ,55,4
ACJ,6457,169
ACJL,206,6
ACJM,126,3
ACJN,240,8
ACJO,200,7
ACJP,68,3
ACJQ,81,2
ACJR,106,4
ACJS,10,1
ACJT,31,2
ACJU,67,5
ACJV,215,7
ACJW,139,3
ACJX,62,2
ACJZ,116,4
ACK,3212,80
ACKL,67,3
ACKM,95,2
ACKN,142,3
ACKO,93,3
ACKP,94,2
ACKQ,286,9
ACKR,107,4
ACKT,69,3
ACKU,41,2
ACKV,86,3
ACKW,27,1
ACKX,58,3
ACKZ,26,2
ACL,6311,178
ACLM,197,7
ACLN,429,14
ACLO,41,2
ACLP,115,3
ACLQ,559,21
ACLR,317,10
ACLS,40,1
ACLT,222,7
ACLU,152,6
ACLV,281,11
ACLW,94,3
ACLX,36,1
ACLY,104,3
ACLZ,39,2
ACM,2711,76
ACMN,39,1
ACMO,60,2
ACMP,24,1
ACMQ,49,2
ACMR,130,4
ACMT,147,3
ACMU,105,3
ACMV,108,3
ACMW,15,2
ACMY,99,3
ACMZ,46,1
ACN,10064,287
ACNN,302,11
ACNO,370,13
ACNP,145,6
ACNQ,598,19
ACNR,696,21
ACNS,183,7
ACNT,230,9
ACNU,226,10
ACNV,264,8
ACNW,194,7
ACNX,107,5
ACNY,156,5
ACNZ,168,5
ACO,7899,208
ACOO,440,15
ACOP,109,3
ACOQ,244,10
ACOR,428,12
ACOS,30,1
ACOT,207,6
ACOU,246,8
ACOV,335,9
ACOW,92,2
ACOX,71,2
ACOZ,67,2
ACP,3357,89
ACPQ,59,3
ACPR,149,5
ACPT,303,9
ACPU,40,1
ACPV,56,2
ACPW,42,1
ACPZ,45,1
ACQ,10493,323
ACQR,372,17
ACQS,201,7
ACQT,282,11
ACQU,167,6
ACQV,274,11
ACQW,53,4
ACQX,232,5
ACQY,4,1
ACQZ,36,3
ACR,7966,218
ACRR,179,8
ACRS,179,2
ACRT,336,9
ACRU,120,5
ACRV,441,13
ACRW,312,10
ACRX,67,4
ACRY,292,8
ACS,1997,53
ACST,20,1
ACSV,256,7
ACSW,44,1
ACSX,46,2
ACSY,38,2
ACT,7484,202
ACTT,162,3
ACTU,160,6
ACTV,100,5
ACTW,78,4
ACTX,36,1
ACTZ,227,5
ACU,7167,199
ACUV,235,10
ACUW,94,4
ACUX,8,1
ACUY,142,7
ACUZ,101,4
ACV,7566,215
ACVW,132,5
ACVX,69,1
ACVY,75,2
ACVZ,41,3
ACW,3279,88
ACWY,39,1
ACWZ,50,3
ACX,1560,42
ACXY,43,1
ACXZ,131,3
ACY,2918,71
ACZ,1769,55
AD,47032,1073
ADE,6460,161
ADEE,428,15
ADEF,141,4
ADEG,246,9
ADEI,258,9
ADEJ,185,4
ADEK,19,1
ADEL,140,6
ADEM,53,2
ADEN,646,19
ADEO,630,16
ADEP,75,1
ADEQ,311,9
ADER,363,7
ADET,447,13
ADEU,143,4
ADEV,116,4
ADEW,229,5
ADEX,25,2
ADEY,78,3
ADEZ,73,3
ADF,3175,78
ADFH,145,4
ADFI,95,4
ADFK,100,2
ADFL,83,4
ADFM,70,1
ADFN,9,1
ADFO,254,6
ADFP,29,1
ADFQ,144,5
ADFR,22,1
ADFS,33,1
ADFT,75,2
ADFU,37,2
ADFV,249,6
ADFW,30,2
ADFY,77,2
ADFZ,41,1
ADG,3832,107
ADGH,49,2
ADGI,196,6
ADGJ,64,3
ADGK,78,2
ADGL,107,2
ADGM,56,1
ADGN,153,7
ADGO,161,4
ADGQ,193,7
ADGR,173,6
ADGS,38,1
ADGT,332,9
ADGU,15,1
ADGV,219,7
ADGW,62,1
ADGX,62,2
ADGZ,62,2
ADH,1368,30
ADHI,27,1
ADHN,90,2
ADHO,25,1
ADHQ,64,2
ADHR,39,2
ADHS,11,1
ADHT,107,2
ADHU,28,1
ADHV,55,2
ADI,8871,231
ADII,348,12
ADIJ,173,4
ADIK,132,4
ADIL,188,6
ADIM,113,3
ADIN,424,13
ADIO,394,14
ADIP,91,2
ADIQ,308,12
ADIR,228,10
ADIT,262,8
ADIU,214,7
ADIV,134,7
ADIW,240,5
ADIX,82,4
ADIY,28,2
ADIZ,122,4
ADJ,2686,72
ADJL,135,4
ADJN,336,9
ADJO,127,4
ADJP,42,1
ADJQ,103,4
ADJR,146,4
ADJU,40,1
ADJV,139,4
ADJY,34,1
ADJZ,71,1
ADK,2567,65
ADKL,57,1
ADKM,47,1
ADKN,124,3
ADKO,41,1
ADKQ,73,3
ADKR,122,4
ADKT,96,3
ADKV,48,2
ADL,4571,123
ADLM,14,1
ADLN,253,7
ADLO,71,2
ADLP,64,2
ADLQ,149,7
ADLR,261,11
ADLS,50,1
ADLT,179,4
ADLU,7,2
ADLV,194,7
ADLW,67,2
ADLY,97,3
ADLZ,52,1
ADM,1937,48
ADMN,97,3
ADMO,55,2
ADMP,65,2
ADMR,75,4
ADMT,127,3
ADMU,42,1
ADMV,27,1
ADMW,34,1
ADMY,30,1
ADMZ,39,1
ADN,7799,210
ADNN,163,8
ADNO,354,11
ADNP,114,4
ADNQ,502,14
ADNR,288,11
ADNT,477,15
ADNU,384,15
ADNV,383,12
ADNW,216,5
ADNX,124,3
ADNY,124,3
ADNZ,16,1
ADO,6014,157
ADOO,49,3
ADOP,29,1
ADOQ,373,12
ADOR,503,13
ADOS,35,1
ADOT,267,7
ADOU,109,3
ADOV,162,6
ADOW,55,1
ADOX,177,4
ADOY,27,1
ADOZ,62,2
ADP,1701,49
ADPQ,58,2
ADPR,286,10
ADPS,25,1
ADPT,71,3
ADPU,107,4
ADPV,17,1
ADPX,14,1
ADPZ,61,1
ADQ,6471,181
ADQR,291,11
ADQS,98,4
ADQT,243,9
ADQU,169,7
ADQV,138,5
ADQW,253,8
ADQX,178,4
ADQY,29,1
ADQZ,67,4
ADR,5513,149
ADRR,158,7
ADRS,30,2
ADRT,393,13
ADRU,152,6
ADRV,211,8
ADRW,158,4
ADRY,81,2
ADRZ,219,5
ADS,2148,49
ADST,176,4
ADSV,71,2
ADT,5053,143
ADTT,81,2
ADTU,104,5
ADTV,106,5
ADTW,161,5
ADTY,22,1
ADTZ,18,2
ADU,4381,126
ADUV,109,4
ADUW,31,1
ADUX,70,2
ADUY,37,1
ADUZ,127,4
ADV,5789,163
ADVW,76,3
ADVX,48,1
ADVY,42,2
ADVZ,77,3
ADW,1494,40
ADWX,6,1
ADWZ,9,1
ADX,638,20
ADXY,7,1
ADXZ,68,2
ADY,1739,43
ADZ,1193,31
AE,221671,4978
AEE,33364,872
AEEE,724,26
AEEF,304,8
AEEG,313,12
AEEH,205,8
AEEI,2095,63
AEEJ,254,9
AEEK,158,8
AEEL,530,18
AEEM,158,6
AEEN,957,31
AEEO,1466,50
AEEP,400,11
AEEQ,1186,42
AEER,1242,32
AEES,241,5
AEET,744,24
AEEU,869,30
AEEV,509,16
AEEW,294,7
AEEX,56,1
AEEY,195,6
AEEZ,354,9
AEF,8168,202
AEFG,199,6
AEFH,66,2
AEFI,698,22
AEFJ,77,3
AEFK,101,2
AEFL,34,1
AEFM,39,1
AEFN,340,10
AEFO,395,10
AEFP,46,2
AEFQ,359,13
AEFR,230,8
AEFS,109,3
AEFT,383,9
AEFU,181,5
AEFV,286,6
AEFW,94,2
AEFY,83,2
AEFZ,260,5
AEG,12571,328
AEGH,63,3
AEGI,439,18
AEGJ,213,7
AEGK,71,2
AEGL,531,15
AEGM,116,4
AEGN,670,16
AEGO,952,27
AEGP,67,4
AEGQ,547,21
AEGR,404,9
AEGS,53,2
AEGT,312,11
AEGU,405,12
AEGV,207,10
AEGW,355,8
AEGX,71,3
AEGY,149,5
AEGZ,290,10
AEH,5678,129
AEHI,367,9
AEHJ,65,2
AEHK,84,2
AEHL,91,2
AEHM,31,2
AEHN,165,6
AEHO,245,6
AEHP,81,2
AEHQ,99,3
AEHR,99,3
AEHT,172,6
AEHU,64,1
AEHV,58,3
AEHW,173,4
AEHX,16,1
AEHY,18,1
AEHZ,54,1
AEI,51295,1342
AEII,2110,69
AEIJ,581,20
AEIK,364,12
AEIL,999,33
AEIM,281,8
AEIN,1005,34
AEIO,2625,81
AEIP,432,11
AEIQ,1942,64
AEIR,992,34
AEIS,185,6
AEIT,1270,41
AEIU,1533,47
AEIV,762,28
AEIW,447,12
AEIX,384,10
AEIY,336,10
AEIZ,424,11
AEJ,10163,254
AEJK,57,2
AEJL,277,13
AEJM,41,1
AEJN,128,7
AEJO,383,12
AEJP,38,1
AEJQ,231,9
AEJR,554,13
AEJS,106,2
AEJT,308,7
AEJU,299,11
AEJV,132,5
AEJW,245,7
AEJY,71,2
AEJZ,56,2
AEK,4655,112
AEKL,167,5
AEKM,146,4
AEKN,306,8
AEKO,340,9
AEKP,62,2
AEKQ,99,3
AEKR,230,6
AEKT,221,6
AEKU,228,5
AEKV,163,7
AEKW,182,7
AEKX,51,3
AEKY,37,1
AEKZ,11,1
AEL,13270,338
AELM,278,6
AELN,411,16
AELO,551,17
AELP,231,6
AELQ,925,29
AELR,224,8
AELS,279,6
AELT,337,11
AELU,508,16
AELV,336,12
AELW,151,3
AELX,119,4
AELY,274,9
AELZ,147,4
AEM,6233,147
AEMN,99,4
AEMO,552,14
AEMP,421,8
AEMQ,173,7
AEMR,564,13
AEMS,87,2
AEMT,265,8
AEMU,99,4
AEMV,241,9
AEMW,89,2
AEMY,34,1
AEMZ,77,2
AEN,22839,606
AENN,495,17
AENO,1243,37
AENP,230,9
AENQ,1037,33
AENR,1065,36
AENS,165,6
AENT,969,29
AENU,1066,37
AENV,556,24
AENW,323,10
AENX,78,3
AENY,200,5
AENZ,223,10
AEO,37414,934
AEOO,1203,35
AEOP,379,12
AEOQ,1444,48
AEOR,1210,36
AEOS,161,5
AEOT,1111,32
AEOU,1013,33
AEOV,844,27
AEOW,668,18
AEOX,52,2
AEOY,390,13
AEOZ,259,8
AEP,6740,156
AEPQ,85,3
AEPR,392,9
AEPT,170,5
AEPU,120,4
AEPV,251,6
AEPW,110,3
AEPX,11,1
AEPY,33,1
AEPZ,97,3
AEQ,26614,768
AEQR,603,26
AEQS,45,1
AEQT,555,21
AEQU,319,11
AEQV,472,19
AEQW,184,6
AEQX,122,6
AEQY,197,6
AEQZ,112,4
AER,19749,497
AERR,392,12
AERS,67,2
AERT,459,17
AERU,593,18
AERV,743,22
AERW,560,14
AERX,216,7
AERY,199,6
AERZ,362,10
AES,4937,114
AESS,271,6
AEST,182,6
AESU,103,3
AESV,11,1
AESY,123,3
AET,19344,502
AETT,371,13
AETU,400,15
AETV,666,18
AETW,197,5
AETY,296,9
AETZ,177,6
AEU,22315,582
AEUV,488,16
AEUW,283,7
AEUX,231,8
AEUY,138,3
AEUZ,267,8
AEV,14292,379
AEVW,278,6
AEVX,18,1
AEVY,176,5
AEVZ,251,10
AEW,7189,171
AEWY,28,1
AEWZ,91,2
AEX,3983,95
AEXY,78,2
AEXZ,126,5
AEY,7582,179
AEZ,4852,118
AF,40032,933
AFG,3403,93
AFGH,69,2
AFGI,582,15
AFGL,30,1
AFGM,16,1
AFGN,172,5
AFGO,106,4
AFGQ,81,3
AFGR,112,5
AFGT,27,1
AFGU,64,2
AFGV,57,3
AFGW,90,3
AFGX,68,2
AFGY,12,1
AFGZ,24,2
AFH,1496,37
AFHI,27,1
AFHJ,22,1
AFHK,112,2
AFHM,29,1
AFHN,30,1
AFHP,37,1
AFHR,125,2
AFHU,30,1
AFHV,37,1
AFHW,35,1
AFI,8582,219
AFII,325,12
AFIJ,103,4
AFIK,103,3
AFIL,148,6
AFIM,66,3
AFIN,279,8
AFIO,464,12
AFIP,129,3
AFIQ,245,7
AFIR,323,10
AFIT,315,8
AFIU,383,16
AFIV,155,5
AFIW,74,2
AFIX,22,1
AFIZ,53,2
AFJ,3339,86
AFJK,157,5
AFJL,49,2
AFJM,17,1
AFJN,287,10
AFJO,118,2
AFJP,35,1
AFJQ,77,3
AFJR,153,7
AFJS,31,1
AFJT,60,2
AFJU,122,3
AFJW,74,2
AFJZ,112,3
AFK,1666,41
AFKM,95,3
AFKN,241,7
AFKO,19,1
AFKP,20,1
AFKQ,81,2
AFKR,78,2
AFKT,58,2
AFKU,102,3
AFKV,106,3
AFKX,83,1
AFKY,62,2
AFL,4357,110
AFLM,119,3
AFLN,218,6
AFLO,134,3
AFLP,139,4
AFLQ,149,5
AFLR,132,4
AFLT,89,4
AFLV,64,5
AFLW,28,1
AFLZ,56,3
AFM,1980,53
AFMN,106,5
AFMO,25,1
AFMP,18,1
AFMQ,49,3
AFMR,66,1
AFMT,107,3
AFMU,112,3
AFMV,75,3
AFMZ,101,3
AFN,6737,182
AFNN,333,9
AFNO,168,5
AFNP,82,3
AFNQ,362,14
AFNR,476,16
AFNS,36,1
AFNT,333,9
AFNU,164,6
AFNV,276,12
AFNW,70,2
AFNX,28,1
AFNY,139,4
AFNZ,121,2
AFO,4927,123
AFOO,137,6
AFOP,172,6
AFOQ,60,2
AFOR,270,8
AFOS,86,2
AFOT,363,11
AFOU,234,6
AFOV,195,6
AFOX,10,1
AFOY,76,2
AFOZ,58,2
AFP,2025,57
AFPQ,135,3
AFPR,34,1
AFPT,90,2
AFPV,119,4
AFPW,44,1
AFPY,35,1
AFQ,6057,169
AFQR,322,12
AFQS,23,1
AFQT,126,6
AFQU,194,6
AFQV,97,3
AFQW,5,1
AFQY,93,3
AFQZ,89,3
AFR,5265,135
AFRR,73,3
AFRS,35,1
AFRT,184,6
AFRU,15,1
AFRV,199,7
AFRW,139,4
AFRX,32,1
AFRY,131,4
AFRZ,140,5
AFS,1876,41
AFST,53,1
AFSU,86,2
AFSV,65,1
AFSW,26,1
AFSX,65,2
AFSY,19,1
AFSZ,24,1
AFT,4673,123
AFTT,150,4
AFTU,89,3
AFTV,208,6
AFTW,121,3
AFTY,121,2
AFTZ,67,2
AFU,4496,122
AFUV,149,6
AFUW,42,1
AFUX,125,3
AFUY,43,1
AFUZ,92,3
AFV,3875,105
AFVW,73,2
AFVY,32,2
AFW,1734,44
AFWX,38,1
AFWY,57,2
AFWZ,6,1
AFX,1060,26
AFXY,15,1
AFXZ,23,1
AFY,2010,48
AFYZ,81,2
AFZ,1002,27
AG,70971,1749
AGH,2633,65
AGHI,76,2
AGHK,40,1
AGHL,55,2
AGHN,94,2
AGHO,46,1
AGHP,38,1
AGHQ,108,2
AGHR,116,4
AGHU,101,3
AGHV,89,3
AGHX,28,1
AGHY,24,2
AGI,16333,455
AGII,526,21
AGIJ,289,10
AGIK,307,8
AGIL,302,9
AGIM,286,9
AGIN,406,13
AGIO,1191,34
AGIP,218,8
AGIQ,750,25
AGIR,782,22
AGIS,222,6
